text,label
저희가 듣기로는 한국에 처음에 오신다고 들었습니다.,0
그동안 복제가 쉬운 디지털 파일은 소유권을 주장하기가 쉽지 않았습니다.,0
부킹 했다가 취소라도 하면 수수료를 내야 해요.,0
저희 가정에 아야 보내주셔서 감사합니다.,0
자세한 내용을 보내주시면 제가 당신의 이름으로 티켓을 예매할 수 있습니다.,0
바닷가쪽에 드라이브를 하다가 들리기 좋은 카페입니다.,0
첨부해 드린 청구서 사본과 계약서 사본을 확인해 주시기 바랍니다.,0
[경찰청 교통 24] 위반통지문자가 전송되었습니다 내용 열람,1
[국외 발신] 텔레그렘 회원의 보안정보를 강화하세요 계정 정지됩니다공식 홈에서 강화하세요,1
"59타입은 1, 3, 5 단지에 배치되어 있습니다.",0
휴대폰 신호 문제와 인터넷에 대한 접근성 문제가 주요 결함이었습니다.,0
[국제발신] Telegram용 한 예정이니 속하여증으로 하세요,1
"즉, 당신이 우리를 당신의 집에 들여보내는 데 동의한다면.",0
[국제발신][Telegram] 다른 장소에서 확인을 진행해주세요,1
[민원24] 차량 위반과 속 어린이 보호구역 운전 벌금 예고,1
따라서 저희는 어떤 업적을 이루어 냈는지 세미나를 통해 교수님께 알려드리고 싶다고 생각했습니다.,0
[국외 발신][부고장 알림 문자]부모님이 금일 새벽 별세하셧습니다 삼가 알려드립니다,1
하지만 귀하께서 저품질 이유로 주문을 거절하셨습니다.,0
[국외 발신] 경찰청 교통신호 미 준수 과태료 부가 내용 전송 완료상세보기[URL],1
YAP/TAZ의 발현이 높은 모델은 시간이 지나도 암 조직 내 약물 투과 효과가 암 주변 조직에 비해 4배 정도 낮았습니다.,0
이들 제품은 삼일 전에 도착해서 어제 창고에 입고 되어야 하는 것 입니다.,0
[국외 발신] TeIegram 비정상 접근 시도 감지계정 강화하세요 곧 계정이 정지됩니다 공식 홈에서 해결하세요,1
그런데 막상 도전하면 너무나 어려운 게 디저트 만들기인데요.,0
[국외 발신] 1[Telegram] 계정이 규정 위반으로 [TIME] 간 후 자동 해지됩니다에 접속하여 제한해제 하세요,1
구입한 견과류 버터는 종종 첨가물과 설탕을 함유합니다.,0
Telegram 책 위반 로 탈정이[TIME] 간 내 증랍다,1
우리를 행복하게 만드는 가장 간단한 방법의 하나죠.,0
귀사의 홍콩 및 중국으로의 사업 진출 시 필요한 법률적 리스크 검토에 대해 저희 로펌은 최고의 서비스를 제공할 수 있습니다.,0
Telegram 앱 사용 책 위반으로 탈퇴 예정이니[TIME] 간 내 인증 바랍다 820,1
[로젠]송장번호[NUM] 주소 불일치로 물품 보관 중입니다[URL],1
Telegram 책 예정니[TIME] 간 내인 랍다,1
[국외 발신] TeIegram에 따라 탈정이[TIME] 간내 바랍니다,1
[국외 발신] Telegram 귀하계정은 초기화 예정입니 다 취소하려면 로그인하여주세요,1
귀사에서는 건설 프로젝트를 위해서 따로 회사안에서 기술 개발 연구부서를 두고 계신건가요?,0
[Telegram] 사용규칙을 위반하여 [TIME] 간 후 계정 해지됩니다에 접속하여 인증하세요,1
[국제발신] TeIegram정에 따라 탈퇴될 예이니[TIME] 간 내인을 완랍,1
"그러면 나도 내 톤을 올려볼게, 이렇게.",0
[국외 발신] 교통경찰청 법칙금 안내서가 전송되였습니다 내용 확인,1
[국제발신] Telegram 인증이 만료되였습니다 계정 이 탈퇴되는 걸 방지하기 위해 다시 인증해주세요,1
Telegram정을 반하여 계삭 제정이니 6간 바랍니다,1
갑상선암 환자들은 일반인에 비해 부정맥의 일종인 심방세동의 위험도가 1.55배 높았습니다.,0
[국제발신] Telegram 안내 계정이 정지되었습니다 공식 홈페이지에서 해제 절차를 진행해 주세요,1
[그 책 위반으로 계이삭 예정이니 접속하여 취소 바랍니다,1
유연성은 강철 구조의 주요 장점입니다.,0
이번에 다양한 스텐 서빙카 주문에 대한 정확한 납기 기일을 문의하고자 연락 드렸습니다.,0
보통 슬라이스 치즈에서 볼 수 있는 짠 맛은 거의 없고 치즈 자체의 맛도 강하지 않아서 생각보다 심심한 맛이 납니다.,0
[국제발신] TeIegram에 따라[TIME] 간이내로 미 증시정이 삭되오니 인 바랍니다,1
[국제발신][Telegram] 사용자 보안 유출 계정 삭제됩니다 보안센터로그인하세요,1
그럼 저희 회사 제품 FFF도 구매하는 것 어떠세요?,0
[국외 발신] Telegram책 퇴정이니 6간증 바랍니다,1
아이를 좀 봐주시고 하셨나 봐요.,0
도움을 주셔서 감사합니다. 좋은 하루 보내세요.,0
[국외 발신] 텔램용 책 위반 계정 탈정재을 통해 계정을 보호 바랍니다,1
[국외 발신] Telegram 앱 위반으로 퇴정이니[TIME] 간증 바니,1
결제는 은행 송금으로 바로 하면 되겠습니다.,0
[Telegram] 사용규칙을 위반하여 [TIME] 간 후 계정 해지됩니다에 접속하여 인증하세요,1
[Web발신][로젠]송장번호[NUM] 주소 불일치로 물품 보관 중입니다[URL],1
TeIegram 새로운 IP 탐지 귀하가 아니라면 검증을 통해 보안을 강화하세요,1
TeIegram 계정 보안 강화 필요안전한 사용을 위해 보안 강화하세요,1
어떻게 같이 놀 수가 있지?,0
확인해보니 책이 젖지 않게 하는 포장이 칼 집이 나 있었습니다.,0
[국제발신] TeIegram정을 위반하여 계삭제 예정이니[TIME] 간 내랍다,1
[국외 발신] 관리비 징수법 제23조의 규정에 의거 미납된 귀하의 예금을 조회하여 압류 예정,1
[국외 발신] 텔레그램 사용자 보안 노출 우려 계정이 정지됩니다링크 클릭 보안 강화하세요,1
하지만 우리는 속달 배달이 있습니다.,0
[국제발신][경찰 24] 도로교통법규 위반 과징금 청구서가 전달되었습니다 확인하기[URL],1
[국제발신][텔레그램] 회원님 계정에 비정상 접근이 시도되었습니다 보안 인증 완료해주시기 바랍니다,1
[국외 발신] 귀하의 Whats App정은 정지이니 보검증은 공식 객터에 문의하세요,1
TeIegram 새로운 기기로그인 감지 안전을 위해 보안검증을 완료하세요,1
[국제발신] TIgram정에 따라 퇴될 예정이니[TIME] 간 이 내인을 완료 바랍니다,1
네트워킹 이벤트는 코로나19로 대면 활동이 제한된 환경 속에서 네트워킹과 정보 공유에 어려움을 겪는 입주사 관계자들을 위해 마련됩니다.,0
나는 한 달 동안 한국에 머물 계획입니다.,0
[부고]아버지께서[DATE][TIME] 쯤 심장마비로 돌아가셨습니다 장례식장 주소[URL],1
[국제발신] TeIegram정에 따라 퇴정이 6간 내 바랍니다,1
나는 여기가 얼마나 넓은지 좋아한다.,0
[국외 발신] 규정 위반으로 [TIME] 간 후 계정해지됩니다에 접속하여 제한해제 하세요[텔레그램],1
AAA와 연락을 취하는 방법은 저번에 말씀드린 사무실 메인 번호로 전화 주시는 것입니다.,0
[국제발신]telegram 고객 스팸 탐지계정이 삭제됩니다 재연동을 통해 문제를 해결하세요,1
[국제발신][경찰청 교통 24] 위반통지문자가 전송되었습니다 내용 열람,1
자수는 실크 실로 이루어집니다.,0
[국외 발신] TeIegram 책라정이 5인 바다,1
[국제발신] 교통경찰청 법칙금 안내서가 전송되였습니다 내용 확인,1
종류가 너무 많다고 생각되시면 '기본'이라고 표기된 디자인 구매를 먼저 제안합니다.,0
우리 5명 다 부자될 수도 있고 우리 5명 1명도 부자 못 될 수도 있는 거죠.,0
[국제발신] TeIegram 비상로 인도 확인보증을 완해 주요,1
[국외 발신][Telegram] 해외 서버에서 확인을 진행하세요,1
[국외 발신] Telegram 정반으로 계삭 제정재증되지 않을 시 탈퇴 예정,1
주위 사람들도 예쁘다고 많이들 사 가요.,0
[국제발신] TeIegram 책탈정이 6간 내 증 바랍니다,1
저희 멀티 포트는 올스테인레스 스틸 소재를 적용하여 주방에서 사용하기에 가장 적합한 포트로 제작하였습니다.,0
텔레그램 계정 위험 감지재 인증 보안 강화[TIME] 간이 내자동으로 접근이 허용되며 보안위험이 발생,1
"두 번째 뵙겠습니다, 형님.",0
아파트가 도시에 있는 경우 특히 그렇습니다.,0
협력사와 불편한 관계를 어떻게 극복해야 할 지 조언이 절실했는데 당신이 말씀하신 것이 도움이 됐습니다.,0
Telegram 정반 탈정증을 통해 보호 바랍니다,1
[국외 발신] 텔레그램 새로운 로그인 탐지 보안검증을 완료하세요,1
"네, 매니저님 이메일 주소를 업체 쪽에 알리도록 하고, 꼭 연락하라고 전달하겠습니다.",0
[국외 발신] 귀하의 텔레그램이 비정상적으로 작동하여 곧 종료될 예정이니[TIME] 간이내에 인증을 완료하세요,1
부고아버지께서 어젯밤[TIME] 에급병으로 우리 곁을 떠나셨습니다 장례식장 위치[URL],1
발효 기계 안에 발효실이 있습니다.,0
제 개인 연락처는 어떻게 얻으셨나요?,0
[Web발신] 귀하께 신호 미준수 범칙금 청구 내용 전달되었습니다 자세보기[URL],1
근처에 한국 전통 시장도 있습니다.,0
듀] 아버지께서 지병으로 어젯밤에 돌아가셨습니다 장례식장 주소를 확인하세요[URL],1
[국외 발신] Telegram 사위 으퇴정 12내 인 바랍니다,1
4개의 롤러를 장착하여 코팅 속도는 빠르고 품질은 우수해졌지요.,0
[국제발신] 텔레그램용 반으로 탈정이니 6내 증 바랍니다,1
[국외 발신] Telegram 규정 위반으로 [TIME] 간 후 자동 해지됩니다 홈페이지에 접속하여 제한해 지하세요,1
그래서 원래의 주문대로 배송이 된 것입니다,0
냉동 피자를 출시할 예정입니다.,0
"네, 저는 이 제품을 FFF1 두 개처럼 구매하고 싶습니다.",0
심지어 지금 코로나 때문에 마음의 병도 유행하고 있다고 하죠.,0
학생들은 곧 우리 서점에 모여들 것입니다.,0
아버지가 심장마비로 [DATE] 별세하셨습니다 장례식장 주소 위치정보[URL],1
전적으로 귀하께 책임이 있기에 저희에게 전액을 돌려 주셔야 합니다.,0
테라피 씨크닝 컨디셔너 콤플렉스입니다.,0
[국제발신] TeIegram 책라정이 5인 바다,1
[국제발신]램 이용자 정보 노출 아이디 삭제 예정입니다 보안 단계를 강화하세요,1
앞으로도 저희 BBB 식당을 많이 사랑해주세요.,0
[국제발신]telegram 해외로그인이 감지되었습니다 즉시 본인 인증을 완료해주세요,1
따라서 저희는 품질 개선을 이뤄 내기를 바라며 연구 개발팀에서 새로운 형광 도료 제품 개발을 위탁하였습니다.,0
"네, 가장 작은 40x60 cm, 50x120 cm, 170x210 cm 이렇게 세 가지로 나뉘며 본 제품도 주문 제작은 가능합니다.",0
[국외 발신] 고객님의 계정 보안 문제 발생talegrem에서 즉시 확인하세요 보안을 위해 계정이 삭제됩니다,1
[국제발신] 텔레그램 이용 고객 개인정보 유출 잠시 후 아이디 삭제됩니다 보안센터로그인하세요,1
저희 회사에서 주문을 한 달 전에 했습니다.,0
"입력화면 설정을 통해 담당자, 창고, 프로젝트, 품목별로 상세하게 매출계획을 수립할 수 있습니다",0
[국제발신] Telegram 회원님의 계정 로그인이 비정상적입니다 본인 인증을 완료해주세요,1
[국제발신][경찰청 교통민원] 교통법규 위반 사전 안내서 발부됨 확인 바람[URL],1
[국제발신][교통 24] 법적 기준 초과로 인한 과태료 부과 내역 전송 완료 확인하기[URL],1
