Date,Keyword,SMS,Result
2025-03-01 00:00:00,공공기관,[경찰청교통민원]도로위반안내문자발송.확인바람:,[경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,기타,[국외발신]T？e？Ie？gr？am？？？？？？？？책？？？？？. 보？？？？？？증 완？？？？주세요.,[국외 발신] TeIegram 책 보증 완주세요
2025-03-01 00:00:00,공공기관,[국외발신][경찰청교통민원]도로위반안내문자발송.확인바람:,[국외 발신][경찰청 교통민원] 도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[국제발신][경찰청교통민원]도로위반안내문자발송.확인바람: [M1],[국제발신][경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,기타,고객님의 카????계정이 규???위반으로 공식 ???페이지 인???이 취소되었습니다,고객님의 카 계정이 규위반으로 공식 페이지인 이 취소되었습니다
2025-03-01 00:00:00,기타,[국외발신]{Telegram}사용자 보안유출계정 삭제 됩니다보안센터 로그인하세요,[국외 발신][Telegram] 사용자 보안 유출 계정 삭제됩니다 보안센터로그인하세요
2025-03-01 00:00:00,기타,0000[Telegram]계정이 규정 위반으로 12시간 후 자동 해지됩니다.  에 접속하여 제한 해제하세요.,[Telegram] 계정이 규정 위반으로 [TIME] 간 후 자동 해지됩니다에 접속하여 제한해제 하세요
2025-03-01 00:00:00,공공기관,[경찰청교통민원]도로위반안내문자발송.확인바람: [FW],[경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,기타,[국제발신]T el egram   책       퇴       니 6시간내 인     랍니  .,[국제발신] Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,T?el?egram???책??? ???퇴???????니 6시간내 인?????랍니??.,Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,[국외발신]T？el？egram？？？책？？？ ？？？퇴？？？？？？？니 6시간내 인？？？？？랍니？？.,[국외 발신] Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,공공기관,[Web발신](광고)[교통청알림문자발송]확인바람: 무료거부 0808804934,[Web발신] 광고[교통청 알림 문자 발송] 확인 바람 무료 거부[PHONE]
2025-03-01 00:00:00,기타,[국외발신]Te？Ie？g？r？am？？？？？？？상 탈？？？？정이？？ 6시간내 ？？？？？？바랍니다.,[국외 발신] TeIegram 상탈정이[TIME] 간내 바랍니다
2025-03-01 00:00:00,기타,Te?Ie?g?r?am???????상 탈????정이?? 6시간내 ??????바랍니다.,TeIegram 상탈정이[TIME] 간내 바랍니다
2025-03-01 00:00:00,공공기관,[Web발신]도로위반안내문자발송.확인바람:,[Web발신] 도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,기타,[국외발신]TeIegram 정책위반으로 귀하의 계정이 24시간 이내에 재인증 되지 않을시 탈퇴예정,[국외 발신] TeIegram 정책 위반으로 귀하의 계정이[TIME] 간이내에 재인증되지 않을 시 탈퇴 예정
2025-03-01 00:00:00,기타,[국외발신][？？？？？그？？？]？？？책위반으로 계？？？이 삭？？예정이니 접속하여 취소바랍니다.,[국외 발신][그 책 위반으로 계이삭 예정이니 접속하여 취소 바랍니다
2025-03-01 00:00:00,기타,[국제발신]Te Ie g r am       상 탈    정이   6시간내       바랍니다.,[국제발신] TeIegram 상탈정이[TIME] 간내 바랍니다
2025-03-01 00:00:00,기타,[국제발신][TeI egram]계 정이 사용설명서를 위 반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[국제발신][TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,택배,[국제발신]우편번호 오류로 인해 배송이 보류되었습니다. 최대한 빨리 작성하여 다시 보내주세요:,[국제발신] 우편번호 오류로 인해 배송이 보류되었습니다 최대한 빨리 작성하여 다시 보내주세요[URL]
2025-03-01 00:00:00,기타,듀> TeIegram 정책위반으로 귀하의 계정이 24시간 이내에 재인증 되지 않을시 탈퇴예정,듀]TeIegram 정책 위반으로 귀하의 계정이[TIME] 간이내에 재인증되지 않을 시 탈퇴 예정
2025-03-01 00:00:00,기타,[TeI??egram] 계??정이 사용설명서를 위??반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,기타,T??el??egram??????책?????? ??????퇴??????????????니 6시간내 인??????????랍니????.,Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,[??????????그??????]??????책위반으로 계??????이 삭????예정이니 접속하여 취소바랍니다.,[그 책 위반으로 계이삭 예정이니 접속하여 취소 바랍니다
2025-03-01 00:00:00,공공기관,[국제발신] [경찰청교통민원] 도로위반안내문자발송. 확인바람:,[국제발신][경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,기타,0000[TeI??egram]계??정이 사용설명서를 위??반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,기타,고객님의 카????????계정이 규??????위반으로 공식 ??????페이지 인??????이 취소되었습니다,고객님의 카 계정이 규위반으로 공식 페이지인 이 취소되었습니다
2025-03-01 00:00:00,기타,[국외발신]텔래그램 장기간 인증을 하지않아 계정 정지됩니다 보안센터 접속해 완료하세요,[국외 발신] 텔래그램 장기간 인증을 하지 않아 계정 정지됩니다 보안센터 접속해 완료하세요
2025-03-01 00:00:00,기타,[국외발신] TeI egram] 계 정이 사용설명서를 위 반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[국외 발신] TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,택배,[국제발신] 우편번호 오류로 인해 배송이 보류되었습니다. 최대한 빨리 작성하여 다시 보내주세요:,[국제발신] 우편번호 오류로 인해 배송이 보류되었습니다 최대한 빨리 작성하여 다시 보내주세요[URL]
2025-03-01 00:00:00,기타,[국제발신] {Telegram} 사용자 보안유출 보안센터 인증하세요,[국제발신][Telegram] 사용자 보안 유출 보안센터 인증하세요
2025-03-01 00:00:00,기타,텔레그램 귀하의 계정장시간 인증을 하지않아 계정삭제됩니다 보안센터 인증해주세요,텔레그램 귀하의 계정장시간 인증을 하지 않아 계정 삭제됩니다 보안센터 인증해주세요
2025-03-01 00:00:00,기타,[국외발신]？？객님의 카？？？？？？정이 규？？？위반으로 공식 홈페이지 인？？？이 취소되었습니다.,[국외 발신] 객님의 카정이규 위반으로 공식 홈페이지인 이 취소되었습니다
2025-03-01 00:00:00,기타,Te??Ie??g??r??am??????????????상 탈????????정이???? 6시간내 ????????????바랍니다.,TeIegram 상탈정이[TIME] 간내 바랍니다
2025-03-01 00:00:00,기타,T??e??Ie??gr??am????????????????책??????????. 보????????????증 완????????주세요.,TeIegram 책 보증 완주세요
2025-03-01 00:00:00,기타,[Telegram] 계정이 규정 위반으로 12시간 후 자동 해지됩니다.  에 접속하여 제한 해제하세요.,[Telegram] 계정이 규정 위반으로 [TIME] 간 후 자동 해지됩니다에 접속하여 제한해제 하세요
2025-03-01 00:00:00,기타,[국제발신]TeIegram 정책위반으로 귀하의 계정이 24시간 이내에 재인증 되지 않을시 탈퇴예정,[국제발신] TeIegram 정책 위반으로 귀하의 계정이[TIME] 간이내에 재인증되지 않을 시 탈퇴 예정
2025-03-01 00:00:00,기타,[국제발신][     그   ]   책위반으로 계   이 삭  예정이니 접속하여 취소바랍니다.,[국제발신][그]책 위반으로 계이삭 예정이니 접속하여 취소 바랍니다
2025-03-01 00:00:00,공공기관,[국제발신]{*경찰청교통민원}교통법규위반(사전안내서)발부됨확인바람:,[국제발신][경찰청 교통민원] 교통법규 위반 사전 안내서 발부됨 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[국제발신]{-경찰청교통민원-}교통법규위반(사전안내서)발부됨확인바람:,[국제발신][경찰청 교통민원교통법규 위반 사전 안내서 발부됨 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[국제발신]{*정부24}쓰레기무단투기로인한과징금고지서가 발급되었습니다보기:,[국제발신][정부 24]쓰레기 무단투기로 인한 과징금 고지서가 발급되었습니다 보기[URL]
2025-03-01 00:00:00,기타,{telegram} 보안정보유출 계장 삭제 예정 보안센터 인증 완료하세요,[telegram] 보안정보 유출계장 삭제 예정 보안센터 인증 완료하세요
2025-03-01 00:00:00,기타,"TeI??egram 안전 규정 위반으로 12시간 이내에  에 접속하여 인증하세요,초과되면 계정 사용권이 회수됩니다.",TeIegram 안전규정 위반으로 [TIME] 간이내에에 접속하여 인증하세요 초과되면 계정 사용권이 회수됩니다
2025-03-01 00:00:00,기타,{telegram}보안정보유출계장 삭제 예정보안센터 인증완료하세요,[telegram] 보안정보 유출계장 삭제 예정 보안센터 인증 완료하세요
2025-03-01 00:00:00,기타,[국외발신][Telegram]규정위반사유로 탈퇴예정. 접속하여 인증을 해주세요.,[국외 발신][Telegram] 규정 위반 사유로 탈퇴 예정 접속하여 인증을 해주세요
2025-03-01 00:00:00,공공기관,[국외발신] {-경찰청교통민원-} 교통법규위반(사전안내서)발부됨 확인바람:,[국외 발신][경찰청 교통민원교통법규 위반 사전 안내서 발부됨 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[경찰청교통민원] 도로위반안내문자발송. 확인바람:,[경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,공공기관,(광고)[교통청알림문자발송] 확인바람:     무료거부 0808804934,광고[교통청 알림 문자 발송]확인 바람 무료 거부[PHONE]
2025-03-01 00:00:00,기타,0000Telegram계정이 규정 위반으로 12시간 후 자동 해지됩니다.   에 접속하여 제한 해제하세요.,Telegram 계정이 규정 위반으로 [TIME] 간 후 자동 해지됩니다에 접속하여 제한해제 하세요
2025-03-01 00:00:00,기타,Te?Ie?g?r?am?????????? ???퇴??정이?? 6시간내 ???증??랍????.,TeIegram 퇴정이[TIME] 간 내 증랍
2025-03-01 00:00:00,기타,텔레그램이용자 보안강화 안내 시스템 정지됩니다 보안센터접속해 인증하여 강화하세요,텔레그램 이용자 보안 강화 안내시스템 정지됩니다 보안센터 접속해 인증하여 강화하세요
2025-03-01 00:00:00,기타,[국외발신] T el egram   책       퇴       니 6시간내 인     랍니  .,[국외 발신] Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,공공기관,[국외발신] [경찰청교통민원] 도로위반안내문자발송. 확인바람:,[국외 발신][경찰청 교통민원] 도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[국외발신]{정부24}음식물분리수거위반과징금고지서가 도착하였습니다.보기:,[국외 발신][정부 24]음식물 분리수거 위반 과징금 고지서가 도착하였습니다 보기[URL]
2025-03-01 00:00:00,기타,[국제발신]고객님의 카????계정이 규???위반으로 공식 ???페이지 인???이 취소되었습니다,[국제발신]고객님의 카 계정이 규위반으로 공식 페이지인 이 취소되었습니다
2025-03-01 00:00:00,기타,[국제발신]Te?Ie?g?r?am???????상 탈????정이?? 6시간내 ??????바랍니다.,[국제발신] TeIegram 상탈정이[TIME] 간내 바랍니다
2025-03-01 00:00:00,기타,TeIegram 정책위반으로 귀하의 계정이 24시간 이내에 재인증 되지 않을시 탈퇴예정,TeIegram 정책위반으로 귀하의 계정이[TIME] 간이내에 재인증되지 않을 시 탈퇴 예정
2025-03-01 00:00:00,기타,[국제발신]TeIegram정   에따라 탈퇴될 예   이니 6시간  내 인   을 완    랍    .,[국제발신] TeIegram정에 따라 탈퇴될 예이니[TIME] 간 내인을 완랍
2025-03-01 00:00:00,기타,[국외발신]T？el？eg？ram？？？책？？？ ？？？퇴예정？？니 6시간내 인？？？？？랍니？？.,[국외 발신] Telegram책 퇴예정니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,[국외발신]T？？el？eg？ram？？？？책？？？ ？？？？？예정？？니 6시간내 인？？？？？랍니？？,[국외 발신] Telegram 책 예정니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,[국외발신]T？el？e？gram？？？책？？？ ？？？？？예？？？？니 6시간？？ 인？？？바랍니다.,[국외 발신] Telegram 책예니[TIME] 간인 바랍니다
2025-03-01 00:00:00,기타,[국외발신]T？e？l？e？gra？m？？？책？？？ ？？？？？예정이니 6？？간？？ ？？？증바랍니다.,[국외 발신] Telegram 책 예정이니 6간증 바랍니다
2025-03-01 00:00:00,기타,T?e?l?egram???책에 따라 6시간내 미???증시 ??정이 삭??오니 ??????바랍니다,Telegram 책에 따라[TIME] 간 내 미 증시정이삭 오니 바랍니다
2025-03-01 00:00:00,기타,[국제발신]T el e gram정   을 위반하여 계   삭제 예정이니 4  간      증  랍  다,[국제발신] Telegram정을 위반하여 계삭제 예정이니 4간 증랍다
2025-03-01 00:00:00,기타,0000[TeI??egram]규정 위반으로 12시간 후 자동 해지됩니다. 홈페이지  에 접속하여 제한 해지하세요.,[TeIegram] 규정 위반으로 [TIME] 간 후 자동 해지됩니다 홈페이지에 접속하여 제한해 지하세요
2025-03-01 00:00:00,기타,[국제발신][TeI egram]규정 위 반으로 12시간 후 자동 해 지됩니다. 홈페이지  에 접속하여 제한 해 지하세요.,[국제발신][TeIegram] 규정 위반으로 [TIME] 간 후 자동 해지됩니다 홈페이지에 접속하여 제한해 지하세요
2025-03-01 00:00:00,기타,[국외발신][TeI？egram]계？정이 사용설명서를 위？반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[국외 발신][TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,기타,[TeI?egram]계?정이 사용설명서를 위?반하여 12시간 후 영구 정지됩니다.  접속하고 본인 인증하세요.,[TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요
2025-03-01 00:00:00,기타,[TeI?egram]규정 위?반으로 12시간 후 자동 해?지됩니다. 홈페이지  에 접속하여 제?한 해지하세요.,[TeIegram] 규정 위반으로 [TIME] 간 후 자동 해지됩니다 홈페이지에 접속하여 제한해 지하세요
2025-03-01 00:00:00,기타,"[국외발신]TeI？egram안전 규정 위반으로 12시간 이내에  에 접속하여 인증하세요,초과되면 계정 사용권이 회수됩니다.",[국외 발신] TeIegram 안전규정 위반으로 [TIME] 간이내에에 접속하여 인증하세요 초과되면 계정 사용권이 회수됩니다
2025-03-01 00:00:00,공공기관,[국외발신]{*경찰청24}법적기준초과로인한과징금부과서가 정상발급.확인하기:,[국외 발신][경찰청 24] 법적 기준 초과로 인한 과징금 부과서가 정상 발급 확인하기[URL]
2025-03-01 00:00:00,공공기관,[국외발신]{교통24}도로교통법미준수*과징금부과(사전통지서)발급확인;,[국외 발신][교통 24]도로교통법 미준수 과징금 부과 사전통지서 발급 확인[URL]
2025-03-01 00:00:00,공공기관,[국제발신][경찰청]도로법미준수 사실확인(*과태료납부사전통지서)도착연람바람:,[국제발신][경찰청] 도로법 미준수 사실 확인과태료 납부 사전 통지서도착 연람바람[URL]
2025-03-01 00:00:00,공공기관,[국제발신]{-경찰청-}도로법미준수 사실확인(*과태료납부사전통지서)도착연람바람:,[국제발신][경찰청 도로법 미준수 사실 확인과태료 납부 사전 통지서도착 연람바람[URL]
2025-03-01 00:00:00,공공기관,[국외발신]{경찰청교통(이파인)}교통법미준수(사전안내서)발부됨조회하기:,[국외 발신][경찰청 교통이 파인 교통법 미준수 사전 안내서 발부됨조회하기[URL]
2025-03-01 00:00:00,공공기관,도로위반안내문자발송. 확인바람:,도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,공공기관,{정부24}법적기준초과로인한과징금부과서가 전송되었습니다.확인하기:,[정부 24] 법적 기준 초과로 인한 과징금 부과서가 전송되었습니다 확인하기[URL]
2025-03-01 00:00:00,공공기관,귀하께 음식물분리수거위반과징금고지서가 도착하였습니다.보기:,귀하께 음식물 분리수거 위반 과징금 고지서가 도착하였습니다 보기[URL]
2025-03-01 00:00:00,공공기관,[국제발신][정부24]법적기준초과로인한*과징금미납(사전통지서)발급완료:,[국제발신][정부 24] 법적 기준 초과로 인한 과징금 미납 사전 통지서 발급 완료[URL]
2025-03-01 00:00:00,공공기관,[Web발신]음식물무단투기사실확인(*과태료납부사전통지서)도착연람바람:,[Web발신] 음식물 무단투기 사실 확인과태료 납부 사전 통지서도착 연람바람[URL]
2025-03-01 00:00:00,지인,부친께서 금일 새벽 별세하셨기에 삼가 알려드립니다.n빈소확인:,부친께서 금일 새벽 별세하셨기에 삼가 알려드립니다 n빈소 확인[URL]
2025-03-01 00:00:00,지인,"11월 5일 밤, 아버지가 집에서 갑자기 병에 걸려 23시경에 돌아가셨습니다. 장례식장 위치:<  >",[DATE] 밤 아버지가 집에서 갑자기 병에 걸려[TIME]에 돌아가셨습니다 장례식장 위치[URL]
2025-03-01 00:00:00,지인,*(부고) 아버지께서 어젯밤 23시에 급병으로 우리 곁을 떠나셨습니다. 장례식장 위치:<  >,부고아버지께서 어젯밤[TIME] 에급병으로 우리 곁을 떠나셨습니다 장례식장 위치[URL]
2025-03-01 00:00:00,지인,*안타깝게도 아버지는 어젯밤 22시에 급성 심장병으로 우리 곁을 떠나셨습니다. 화장터 주소:<  >,안타깝게도 아버지는 어젯밤[TIME] 에급성 심장병으로 우리 곁을 떠나셨습니다 화장터 주소[URL]
2025-03-01 00:00:00,기타,[국제발신]T?el?egram???책??? ???퇴???????니 6시간내 인?????랍니??.,[국제발신] Telegram책 퇴니[TIME] 간 내인 랍니
2025-03-01 00:00:00,기타,[국제발신]{Telegram}사용자 보안유출계정 삭제 됩니다보안센터 로그인하세요,[국제발신][Telegram] 사용자 보안 유출 계정 삭제됩니다 보안센터로그인하세요
2025-03-01 00:00:00,기타,[국제발신]T?e?Ie?gr?am????????책?????. 보??????증 완????주세요.,[국제발신] TeIegram 책 보증 완주세요
2025-03-01 00:00:00,기타,[국제발신][Telegram]계정이 규정 위반으로 12시간 후 자동 해지됩니다.  에 접속하여 제한 해제하세요.,[국제발신][Telegram] 계정이 규정 위반으로 [TIME] 간 후 자동 해지됩니다에 접속하여 제한해제 하세요
2025-03-01 00:00:00,공공기관,[국제발신][경찰청교통민원]도로위반안내문자발송.확인바람:,[국제발신][경찰청 교통민원]도로 위반 안내문자 발송 확인 바람[URL]
2025-03-01 00:00:00,공공기관,[국외발신] {교통24}도로교통법미준수 *과징금부과(사전통지서)발급 확인;,[국외 발신][교통 24]도로교통법 미준수 과징금 부과 사전통지서 발급 확인[URL]
2025-03-01 00:00:00,공공기관,[교통경찰]교통법규위반행위 적발되어 법칙금부과안내서발급 연람바람:,[교통경찰] 교통법규 위반행위 적발되어 법칙금 부과 안내서 발급 연람바람[URL]
2025-03-01 00:00:00,공공기관,[국외발신][교통알림문자]도로교통법규위반과징금청구서가 전달되었습니다.확인하기:,[국외 발신][교통 알림 문자] 도로교통법규 위반 과징금 청구서가 전달되었습니다 확인하기[URL]
2025-03-01 00:00:00,공공기관,[국외발신](*교통문자)교통법규위반과징금청구서가 전달되었습니다.확인하기:,[국외 발신] 교통문자 교통법규 위반 과징금 청구서가 전달되었습니다 확인하기[URL]
2025-03-01 00:00:00,공공기관,[국외발신][*교통24]도로교통법규위반과징금청구내역이 전달되었습니다.확인하기:,[국외 발신][교통 24]도로교통법규 위반 과징금 청구 내역이 전달되었습니다 확인하기[URL]
2025-03-01 00:00:00,기타,[국외발신]T？el？eg？ram？？？책상 ？？정이 ？？？퇴예정이니 6시간이내 인？？？바랍니다,[국외 발신] Telegram 책상정이 퇴예정이니[TIME] 간이 내인 바랍니다
2025-03-01 00:00:00,기타,[국제발신]T?el?eg?ram???책상 ??정이 ???퇴예정이니 6시간이내 인???바랍니다,[국제발신] Telegram 책상정이 퇴예정이니[TIME] 간 이 내인 바랍니다
