text,label
[국외 발신][경찰청 도로법 미준수 사실 확인과태료 납부 사전 통지서도착 연람바람[URL],1
언제 투자금을 인출해야 할지 조심해야 한다.,0
부친께서 금일 새벽 별세하셨기에 삼가 알려드립니다 n빈소 확인[URL],1
"예, 콘텐츠는 무료이거나 쉽게 만들 수 없습니다.",0
[국외 발신] Telegram 반으로 탈 예정 즉시 바랍니다,1
[국외 발신] Telegram 약관반[TIME] 간이 내재증되지 않을 시 계 삭제정,1
[국제발신] TeIegram] 계정이 사용 설명서를 위반하여 [TIME] 간 후 영구정지됩니다 접속하고 본인 인증 하세요,1
지난 몇 달 동안 나는 이것이 입주자의 많은 요구 사항 중 하나임을 관찰했습니다.,0
우리 제품에 대한 할랄 인증을 받는 데 문제가 있어요.,0
[국제발신] Telegram 책 위반 로 탈정이[TIME] 간 내 증랍다,1
[국제발신][국민보험공단] 2024년 일반 본인부담 없음 무료검사 대상자입니다 안내보기[URL],1
저희로서는 처음 해 보는 작업이라 대단히 흥미롭게 봤습니다.,0
[국외 발신] Teegram 보안 위험 내역으로 비활성화 조치됩니다로그인하면 다시 활성화 조치됩니다,1
귀하의 계정 스팸 등록되었습니다 정상 이용을 하기 위해 다시 재등록하세요,1
가능하다면 이번에 100개 이상 주문하고 싶습니다.,0
[국제발신] 듀] 교통경찰청 법칙금 안내서가 전송되였습니다 내용 확인,1
듀] 아버지께서 지난 [DATE][TIME] 지병으로 돌아가셨습니다 장례식장 주소보기[URL],1
TeIegram 비정상적인 그 인감지 보안인으로 계을 보호하세요,1
[국제발신] 텔레그램 이용자 스팸 누적 신고 해당 아이디 삭제 예정입니다 보안센터 해결하세요,1
[국제발신][경찰청 교통민원]사전 통보 문자가 도착하였습니다 열람 바람[URL],1
[국제발신] TeIegram정을 위반하여 계삭제 예정이니[TIME] 간 내증다,1
나 지금 보이지는 않는데 나 지금 한쪽으로 숨 쉬고 있어.,0
[국제발신] Whats App 하의왓이 12뒤 자퇴됩니다소주세요,1
추운 겨울철 가스보일러 배관이 어는 경우가 가끔 발생할 수 있습니다.,0
민무늬 세트가 잘 안 팔린 것은 아닙니다.,0
[국제발신][교통안내 문자] 과태료 부과 내용 전달되었습니다 내용 확인 [URL],1
"네, 당신의 연락처는 제 주주가 알려준 것입니다.",0
"물론, 그들은 옷이 촉감이 부드럽도록 확실히 해줍니다.",0
"주요 기능으로는 전 방향 장애물 감지, 하이퍼 랩스, 저소음 설계, 조절 가능 조리개, 사진 등이 있습니다.",0
"관련 내용이 새 나가는 경우, 당사 강낭콩의 출시 자체가 불투명해집니다.",0
회의에서 모든 재고 조사의 세부 사항에 대해 모두에게 알려드리고자 합니다.,0
저희 제품이 잘 팔린다는 소식을 들으니 정말 기쁩니다.,0
[국외 발신] Telegram정이 규을 위반하여 한 될 예정이니 접하여제 하십시오,1
요새 골프를 즐기시는 분들이 부쩍 늘었습니다.,0
[국제발신] TeIegram책 퇴이 5인 바니다,1
형님 확실한 건 형님 제 취향은 500% 맞추신 거예요.,0
"이 기술이 상용화에 성공만 한다면, 누구든 집에서 저비용으로 OLED 디스플레이를 만들 수 있게 될 것입니다.",0
그러면 어떻게 결혼하셨어요?,0
그리고 나는 즉시 커피를 원한다.,0
그렇다면 뭘 알고 싶은 건데?,0
[국외 발신] 텔레그램 고객 개인정보 유출 계정 삭제됩니다공식센터에서 인증 강화 완료하세요,1
[Web발신] 2024 고12난 3사건 기록 법령의 규정에 따른 확인 절차 관할 서수사 3팀으로 방문,1
그래서 우리는 우리의 공간 크기와 위치를 공유하고자 합니다. 과거에 이러한 제품에 대한 교육 및 경험에 대해서도 알려주십시오.,0
사인 후 다음 주부터 제품 광고 녹화 시작하겠습니다.,0
[국외 발신] TeIegram정에 따라 정이 6간 내 증 바랍니다,1
[국제발신][Kucoin] 귀하의 계정이 블랙리스트에 추가될 예정입니 다을 통해 이제한을 해제하세요,1
[국제발신] 사자보 보강화를 위해 공식 고터에서 보단계를 화하세요,1
추가로 발주할 예정이 오니 할인을 제공해 주세요.,0
[국외 발신] Telegram 귀하의 계정이 오랜 시간 인증되지 않아 위험 발생 즉시 홈페이지 접속해 인증하세요,1
여기서부터는 제가 책임지겠습니다.,0
먼저 참석 여부를 알려주시면 감사하겠습니다.,0
Telegram 책 예정니[TIME] 간 내인 랍니다,1
빗자루의 모는 0.3mm두꼐로 촘촘하게 제작하여 크기가 큰 먼지나 모래를 청소할 수 있습니다.,0
[국외 발신][교통민원도로 교통법규 위반 과징금 청구서가 전달되었습니다 확인하기[URL],1
그리고 각인은 따로 요청하면 된다고 들었습니다.,0
최근에 열심히 일해 주셔서 정말 감사합니다.,0
아버지가 심장마비로 [DATE] 별세하셨습니다 장례식장 주소 위치정보[URL],1
[국제발신][텔레그램] 귀하의 ip 네트워크 제한 로그인하십쇼 계정 사용 중지됩니다,1
Telegram 책 예정이니 6간증 바랍니다,1
[국제발신] 귀하의 계정 ip 네트워크 제한[TIME] 간 후 시스템에서 로그아웃됩니다로그인해 ip 제한해제 하세요,1
하지만 과연 이걸 항상 믿을 수 있는 걸까요?,0
[국외 발신][교통안내 문자 과태료 부과 내용 전달되었습니다 내용 확인[URL],1
"하지만 BBB2 거래건은 이렇게 됐지만, 다른 안으로 새로 회의를 해야 할 것 같네요.",0
저희가 배송받은 상태를 사진으로 기록해 두었고 메일로 첨부하겠습니다.,0
음식물 분리수거 위반 신고되어 알려드립니다 내용 확인[URL],1
[Web발신][민원 24] 귀하께 법적 기준 위반으로 민원에 신고 접수되었습니다 내용 확인[URL],1
모든 계약이 완료가 되면 대략 100개 정도 주문 하고 싶습니다.,0
당사는 고도로 현대적인 생산 시스템을 보유하고 있습니다.,0
"저희 직원이 배송 온 제품을 확인했을 때, 드라이기의 수량이 부족하다는 것을 발견했습니다.",0
각 침대 아래에 금고도 있습니다.,0
그런데 꼭 중간에 끊어서 조언을 해요.,0
아버님께서 오늘 별세하셨기에 삼가 알려드립니 다 장례식장,1
인공 호흡기 치료는 중환자 치료에 있어서 가장 중요한 분야 중의 하나입니다.,0
아이를 좀 봐주시고 하셨나 봐요.,0
그날 정확한 주제가 무엇인지 들어볼 수 있을까요?,0
[국외 발신][경찰청 알림]과태료 부과 문자 전송되였습니다 열람하기,1
우리 그때 퀴즈인 것 같은데.,0
[국제발신] TeIegram 회원님의 계정에서 비정상적인 활동이 감지되었습니다 본인 인증을 완료해주시기 바랍니다,1
이 문서들을 스캔하고 파일링 시스템에 업로드해야 하니 잠깐 기다려 주세요.,0
신용장은 오늘 중으로 개설될 것이라 들었습니다.,0
[국외 발신] 텔레그램 불안정한 접속 시도 귀하가 아니라면 검증을 통해 문제를 완화하세요,1
[국제발신] Telegram 새운로그인 감지 전한 사용을 해 검증을 완료하세요,1
귀사의 홍콩 및 중국으로의 사업 진출 시 필요한 법률적 리스크 검토에 대해 저희 로펌은 최고의 서비스를 제공할 수 있습니다.,0
