Content, label
아버지께서 금일 아침에 별세하셨기에 삼가 알려드립니다. 장례식장 주소 https//t.ly/iftos, 1
<부고> 어머니께서 오늘(8일) 오전에 별세하셨습니다. 황망한 마음에 일일이 연락 드리지 못함을 널리 혜랑해 주세요. - 빈소 : 서울대병원 장례식장 - 약도: HTTPS://URL.KR/9PGHJN - 발인 : 10일 오전 9시, 0
등기발송하였으나 부재중으로 전달불가 하였습니다. 내용확인 sky1004.cc,1
10월30일 저희 결혼해요. 축하해주세요.모시는 글 http://ed99.uso.com, 1
"[휴대폰 결제]00 10/26 결제금액:55,000원 결제내역확인 http://goglep.net", 1
[Web발신] [주문제품 취소처리건] 주문접수건은 판매자 취소처리가 불가하여 고객님께서 직접 취소처리부탁드립니다. URL, 1
[SKT 유심 재고 도착알림] 고객님이 예약하신 USIM이 대리점에 입고되었습니다. 방문 전 본인확인을 위해 아래 URL을 눌러 본인확인 하세요. https://bit.fkgr.rkckse,1
"롯데리아" 한우불고기세트 사용쿠폰 2매 http://tiny.cc/gool, 1
모바일 돌찬치초대장을 보내드렸습니다. 참석하여 주시기 바랍니다. http://balca.er/vervvr, 1
[Web발신][CJ대한통운]배 송불가&;도로명불일치&g; 앱 다운로드 주소지확인 부탁드립니다 URL, 1
[Web발신]**국민보험공단**신체검사 진단서 전송완료. 내용확인 URL, 1
[web발신] 국내 우한폐렴 감영자 및 접촉자 신분정보 확인하기 URL, 1
"[행정안전부] 신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크착용 등 수칙 준수와 발열 호흡기 증상 발생 시 1339 또는 보건소로 상담바랍니다.", 0
"[서울시재난대책본부] 신종 코로나바이러스 대응 경계 단계로 격상(1.27). 중국방문 후 발열, 호흡기 증상 발생시 1339 또는 보건소로 문의하시기 바랍니다.", 0
[Web발신] 국내 우한폐렴 급속도확산 감염자및 접촉자 신분정보 확인하기 URL, 1
[Web발신] 코로나 전염병환자 휴게소에서 수많은 사람과 접촉 URL 접촉 휴게소 확인, 1
저의 부친께서 오랜 투병으로 어제 밤에 별세 하셨음을 알려드립니다 식장 URL, 1
[Web발신] 8월22일 택배. 미배달 도로명불일치 변경요망. URL, 1
[--국민건강보험--]건강검사 진단서 전송완료. 내용보기 URL, 1
[경찰교통24] 도로법위반 벌점 통지서(발송) 내용확인 URL 
"(모바일 초대장), 결혼식일 : 01/6(토) 11시 많이 놀러 오세요 URL", 1
"[한진택배]물품배송불가 (도로명불일치) 배송 주소를 수정해주세요. URL", 1
"[CJ대한통운]물품배송불가 (도로명불일치) 배송 주소를 수정해주세요. URL", 1
"[로젠택배]물품배송불가 (도로명불일치) 배송 주소를 수정해주세요. URL", 1
"[롯데택배]물품배송불가 (도로명불일치) 배송 주소를 수정해주세요. URL", 1
"[우체국택배]물품배송불가 (도로명불일치) 배송 주소를 수정해주세요. URL", 1
[민원24]'에서는 잘못된 쓰레기 분류로 인한 민원으로 벌금형을 통보받았음을 알려드립니다. URL, 1
